zh,profession,rarity,en,ja,id,sex,birth_place,team,logo,race,nation,group,hp,atk,def,res,re_deploy,cost,block,interval,position,tag,obtain_method,potential,trust,phy,flex,tolerance,plan,skill,adapt,sortid,subprofession,description
苇草,先锋,4,Reed,リード,HT03,女,维多利亚,,维多利亚,德拉克,维多利亚,,2215,562,364,0,70s,10→12,1,1.0s,近战位,费用回复 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,25,-6,-1","0,70,0",优良,优良,标准,优良,优良,卓越,113,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用
苍苔,近卫,4,Bryophyta,ブライオファイタ,SS03,男,汐斯塔,,汐斯塔,黎博利,哥伦比亚,汐斯塔,1900,650,421,0,80s,16→18,2,1.05s,近战位,输出 支援,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,35,35",普通,普通,标准,普通,普通,标准,290,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%
苏苏洛,医疗,3,Sussurro,ススーロ,R107,女,叙拉古,,罗德岛,沃尔珀,罗德岛,,1345,488,122,0,70s,16→18,1,2.85s,远程位,治疗,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,60,0",普通,标准,普通,普通,普通,标准,95,医师,恢复友方单位生命
若叶睦,特种,4,Wakaba Mutsumi,,AM05,女,未知,Ave Mujica,Ave Mujica,未知,,,2211,752,285,0,70s,13→15,2,1.2s,近战位,防护 快速复活,联动寻访,"cost,re_deploy,def,,cost`-1,-4,27,,-1","0,40,40",普通,普通,普通,标准,标准,■■,386,傀儡师,受到致命伤时不撤退，切换成<替身>作战（替身阻挡数为0），持续20秒后自身再次替换<替身>
苦艾,术师,4,Absinthe,アブサント,US11,女,乌萨斯,,乌萨斯,乌萨斯,乌萨斯,,1420,633,124,20,80s,20→22,1,1.6s,远程位,输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,70,0",标准,普通,标准,普通,标准,优良,141,中坚术师,攻击造成法术伤害
荒芜拉普兰德,术师,5,Lappland the Decadenza,荒蕪ラップランド,SR04,女,叙拉古,,叙拉古,鲁珀,叙拉古,,1503,342,117,20,70s,20→22,1,1.3s,远程位,输出 削弱,限定寻访,"cost,,atk,cost,`-1,,25,-1,","0,60,0",优良,优良,标准,优良,卓越,优良,353,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）
莎草,医疗,4,Papyrus,パピルス,SG19,女,萨尔贡,,萨尔贡,菲林,萨尔贡,,1715,440,160,0,80s,18→20,1,2.85s,远程位,治疗,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","150,60,0",普通,普通,普通,标准,普通,标准,337,链愈师,恢复友方单位生命，且会在3个友方单位间跳跃，每次跳跃治疗量降低25%
莫斯提马,术师,5,Mostima,モスティマ,LT77,女,拉特兰,,拉特兰,未公开,拉特兰,,1831,834,132,20,70s,31→34,1,2.9s,远程位,群攻 支援 控场,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,34,,-1","0,105,0",标准,标准,标准,标准,优良,卓越,112,扩散术师,攻击造成群体法术伤害
莱伊,狙击,5,Ray,レイ,RB15,女,雷姆必拓,,雷姆必拓,卡特斯,雷姆必拓,,1933,1072,228,0,70s,17→19→21,1,1.6s,远程位,输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,37,,-1","0,120,0",标准,优良,优良,普通,标准,标准,311,猎手,攻击时需要消耗子弹且攻击力提升至120%，不攻击时会缓慢地装填子弹（最多8发）
莱恩哈特,术师,4,Leonhardt,レオンハルト,RB03,男,雷姆必拓,,雷姆必拓,卡特斯,雷姆必拓,,1637,773,120,20,70s,30→33,1,2.9s,远程位,群攻 爆发,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,90,0",普通,标准,标准,标准,优良,优良,142,扩散术师,攻击造成群体法术伤害
莱欧斯,近卫,4,Laios,ライオス,DD01,男,北方大陆（自称）,莱欧斯小队,莱欧斯小队,长身人（自称）,,,3868,900,256,0,70s,16→18,1,1.5s,近战位,输出 控场,联动寻访,"cost,re_deploy,atk,re_deploy,cost`-1,-4,32,-6,-1","0,75,25",标准,普通,标准,标准,标准,■■,343,无畏者,能够阻挡一个敌人
菲亚梅塔,狙击,5,Fiammetta,フィアメッタ,LT11,女,拉特兰,,拉特兰,黎博利,拉特兰,,1926,861,156,0,70s,25→27→29,1,2.8s,远程位,输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,35,,-1","0,100,0",标准,优良,优良,标准,优良,标准,228,炮手,攻击造成群体物理伤害
菲莱,重装,4,Philae,フィラエ,SG10,女,萨尔贡,,萨尔贡,萨卡兹,萨尔贡,,3227,603,544,10,70s,21→23→25,3,1.6s,近战位,元素 防护,凭证交易所(采购),"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,40,40",标准,普通,优良,标准,标准,优良,349,本源铁卫,能够阻挡三个敌人，可以造成元素损伤
蒂比,特种,4,Tippi,ティッピ,CB25,女,哥伦比亚,,哥伦比亚,黎博利,哥伦比亚,,2368,745,390,0,70s,15→17,2,1.5s,近战位,高空 生存,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,40,40",普通,标准,标准,普通,标准,普通,375,巡空者,起飞后能够阻挡2个飞行敌人
蓝毒,狙击,4,Blue Poison,アズリウス,AA03,女,未公开,,伊比利亚,安努拉,伊比利亚,,1230,535,130,5,70s,11→13,1,1.0s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,75,0",普通,标准,普通,普通,优良,普通,52,速射手,优先攻击空中单位
蕾缪安,狙击,5,Lemuen,レミュアン,LT17,女,拉特兰,,拉特兰,萨科塔,拉特兰,,1448,1201,175,0,70s,20→22,1,2.7s,远程位,输出 爆发,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,46,,-1","0,100,0",缺陷,标准,缺陷,卓越,优良,标准,372,神射手,优先攻击攻击范围内防御力最低的敌方单位
薄绿,术师,4,Mint,ミント,VC08,女,维多利亚,,维多利亚,菲林,维多利亚,,1945,732,196,15,80s,23→25,1,2.0s,远程位,群攻 控场,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,75,15",普通,普通,普通,标准,普通,优良,159,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害
薇薇安娜,近卫,5,Viviana,ヴィヴィアナ,LN11,女,莱塔尼亚,,莱塔尼亚,埃拉菲亚,莱塔尼亚,,2920,646,447,15,70s,19→21,1,1.25s,近战位,输出 生存,标准寻访,"cost,,atk,,cost`-1,,28,,-1","0,100,0",标准,优良,标准,标准,优良,卓越,305,术战者,攻击造成法术伤害
蚀清,术师,4,Corroserum,コロセラム,CB12,男,哥伦比亚,,哥伦比亚,斐迪亚,哥伦比亚,,1572,760,120,20,70s,30→33,1,2.9s,远程位,群攻 削弱,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,33,,-1","0,90,0",普通,普通,普通,标准,标准,优良,212,轰击术师,攻击造成超远距离的群体法术伤害
蛇屠箱,重装,3,Cuora,クオーラ,IU05,女,未公开,,哥伦比亚,匹特拉姆,哥伦比亚,,3105,365,690,0,70s,17→19→21,3,1.2s,近战位,防护,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,def,re_deploy,cost`-1,-4,27,-6,-1","0,0,75",普通,普通,优良,普通,普通,标准,40,铁卫,能够阻挡三个敌人
蜜莓,医疗,4,Honeyberry,ハニーベリー,RB06,女,雷姆必拓,,雷姆必拓,札拉克,雷姆必拓,,1458,375,107,10,70s,13→15,1,2.85s,远程位,治疗,凭证交易所(采购),"cost,re_deploy,atk,,cost`-1,-4,19,,-1","150,35,0",普通,标准,普通,普通,普通,标准,210,行医,恢复友方单位生命，并回复相当于攻击力50%的元素损伤（可以回复未受伤友方单位的元素损伤）
蜜蜡,术师,4,Beeswax,ビーズワクス,R147,女,萨尔贡,,萨尔贡,卡普里尼,萨尔贡,,2005,735,205,15,70s,21→23,1,2.0s,远程位,群攻 防护,"公开招募, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,30,-6,-1","0,70,20",普通,普通,标准,标准,普通,优良,149,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害
行箸,辅助,4,Xingzhu,シィンズゥ,YD18,女,炎,,炎,菲林,炎,,1746,423,181,25,80s,11→12→13,1,1.6s,远程位,支援 生存,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,50,50",普通,普通,标准,普通,标准,标准,357,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）
衡沙,辅助,4,Sand Reckoner,サンドレコナー,SG23,男,萨尔贡,,萨尔贡,黎博利,萨尔贡,,1031,450,160,20,70s,9→11,1,1.6s,远程位,召唤 减速,标准寻访,"cost,re_deploy,res,re_deploy,cost`-1,-4,8,-6,-1","200,35,0",标准,标准,普通,标准,普通,优良,338,召唤师,攻击造成法术伤害可以使用召唤物协助作战
裁度,特种,4,Figurino,フィグリーノ,SR41,男,叙拉古,,叙拉古,鲁珀,叙拉古,,2393,741,391,0,25s,6→8,1,1.0s,近战位,快速复活 控场,标准寻访,"cost,re_deploy,atk,,cost`-1,-3,25,,-1","200,25,20",标准,普通,标准,普通,普通,标准,350,行商,再部署时间减少，撤退时不返还部署费用，在场时每3秒消耗3点部署费用（不足时自动撤退）
褐果,医疗,3,Chestnut,チェストナット,R134,男,未公开,,罗德岛,杜林,罗德岛,,1137,389,101,10,70s,12→14,1,2.85s,远程位,治疗,"标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,15,,-1","100,35,0",普通,标准,标准,标准,普通,标准,229,行医,恢复友方单位生命，并回复相当于攻击力50%的元素损伤（可以回复未受伤友方单位的元素损伤）
见行者,特种,4,Enforcer,エンフォーサー,LT10,男,拉特兰,,拉特兰,萨科塔,拉特兰,,1937,653,381,0,80s,20→22,2,1.2s,近战位,位移 控场,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","350,0,35",标准,优良,标准,标准,优良,标准,226,推击手,同时攻击阻挡的所有敌人可以放置于远程位
角峰,重装,3,Matterhorn,マッターホルン,JC03,男,谢拉格,,喀兰贸易,丰蹄,谢拉格,喀兰贸易,3235,375,670,5,70s,17→19→21,3,1.2s,近战位,防护,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,hp,re_deploy,cost`-1,-4,250,-6,-1","385,0,0",优良,普通,优良,标准,标准,缺陷,39,铁卫,能够阻挡三个敌人
讯使,先锋,3,Courier,クーリエ,JC04,男,谢拉格,,喀兰贸易,依特拉,谢拉格,喀兰贸易,1985,435,322,0,70s,10→12,2,1.05s,近战位,费用回复 防护,信用交易所,"cost,re_deploy,def,,cost`-1,-4,23,,-1","0,0,60",标准,优良,优良,标准,优良,普通,26,尖兵,能够阻挡两个敌人
诗怀雅,近卫,4,Swire,スワイヤー,LM08,女,龙门,,龙门近卫局,菲林,炎-龙门,龙门近卫局,1914,656,413,0,70s,14→16,2,1.05s,近战位,输出 支援,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,26,,-1","0,40,30",标准,标准,标准,优良,标准,标准,93,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%
诺威尔,医疗,4,Nowell,ノウエル,VC29,男,维多利亚,,维多利亚,沃尔珀,维多利亚,,1367,516,108,10,70s,18→20,1,2.85s,远程位,治疗,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,23,,-1","200,40,0",普通,普通,普通,普通,普通,普通,361,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%
调香师,医疗,3,Perfumer,パフューマー,MN03,女,米诺斯,,罗德岛,沃尔珀,罗德岛,,1560,320,145,0,70s,14→16,1,2.85s,远程位,治疗,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,19,,-1","150,25,0",普通,标准,普通,标准,标准,优良,38,群愈师,同时恢复三个友方单位的生命
谜图,先锋,4,Puzzle,パズル,VC21,男,维多利亚,,维多利亚,瓦伊凡,维多利亚,,1860,566,244,0,35s,10→12,1,1.0s,近战位,费用回复 快速复活,"活动获得, 记录修复奖励","cost,interval,cost,,cost`-1,5,-1,,-1","0,40,20",优良,标准,标准,优良,标准,标准,262,情报官,再部署时间减少，可使用远程攻击
豆苗,先锋,3,Beanstalk,ビーンストーク,CB16,女,哥伦比亚,,哥伦比亚,瑞柏巴,哥伦比亚,,1569,405,125,0,70s,11→13,1,1.0s,远程位,费用回复 召唤,"标准寻访, 中坚寻访, 公开招募","cost,re_deploy,interval,re_deploy,cost`-1,-4,8,-6,-1","0,50,0",普通,标准,普通,优良,普通,普通,175,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%
贝娜,特种,4,Bena,ベナ,VC14,女,维多利亚,,维多利亚,卡普里尼,维多利亚,,2435,682,315,0,80s,15→17,2,1.2s,近战位,输出 快速复活,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","100,60,0",普通,普通,普通,普通,普通,优良,195,傀儡师,受到致命伤时不撤退，切换成<替身>作战（替身阻挡数为0），持续20s后自身再次替换<替身>
贾维,先锋,4,Chiave,キアーベ,SR26,男,叙拉古,贾维团伙,贾维团伙,沃尔珀,叙拉古,,1824,522,342,0,70s,11→13,2,1.05s,近战位,费用回复 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,70,0",标准,标准,标准,普通,优良,标准,150,尖兵,能够阻挡两个敌人
赤冬,近卫,4,Akafuyu,アカフユ,HK04,女,东国,,东,阿戈尔,东,,3635,728,328,0,70s,21→23→25,1,1.2s,近战位,生存 输出,"公开招募, 中坚寻访","cost,re_deploy,def,re_deploy,cost`-1,-4,23,-6,-1","0,30,55",优良,优良,标准,标准,优良,普通,190,武者,不成为其他角色的治疗目标，每次攻击到敌人后回复自身70生命
赫德雷,近卫,5,Hoederer,ヘドリー,B216,男,卡兹戴尔,,巴别塔,萨卡兹,,巴别塔,5988,1576,0,0,70s,20→22→24,2,2.5s,近战位,输出,标准寻访,"cost,hp,atk,,cost`-1,250,45,,-1","500,80,0",标准,标准,标准,优良,优良,优良,300,重剑手,同时攻击阻挡的所有敌人
赫拉格,近卫,5,Hellagur,ヘラグ,AZ01,男,乌萨斯,,乌萨斯,黎博利,乌萨斯,,3825,762,334,0,70s,22→24→26,1,1.2s,近战位,输出 生存,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,26,,-1","400,70,0",优良,优良,标准,优良,卓越,标准,101,武者,不成为其他角色的治疗目标，每次攻击到敌人后回复自身70生命
赫默,医疗,4,Silence,サイレンス,RL01,女,哥伦比亚,,莱茵生命,黎博利,哥伦比亚,莱茵生命,1595,482,142,0,70s,17→19,1,2.85s,远程位,治疗,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,75,0",普通,普通,普通,标准,标准,优良,58,医师,恢复友方单位生命
跃跃,狙击,3,Caper,ケイパー,BV32,女,玻利瓦尔,,玻利瓦尔,卡特斯,玻利瓦尔,,2200,600,160,0,70s,12→14,1,1.0s,远程位,输出,凭证交易所(采购),"cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,65,0",普通,标准,普通,标准,普通,标准,301,回环射手,持有回旋投射物时才能够攻击（投射物需要时间回收）
车尔尼,重装,4,Czerny,ツェルニー,LN06,男,莱塔尼亚,,莱塔尼亚,埃拉菲亚,莱塔尼亚,,3122,625,577,15,80s,23→25→27,3,1.6s,近战位,防护 输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","200,40,0",标准,标准,标准,标准,普通,优良,238,驭法铁卫,技能开启时普通攻击会造成法术伤害
达格达,近卫,4,Dagda,ダグザ,GG04,女,维多利亚,,格拉斯哥帮,菲林,维多利亚,格拉斯哥帮,2506,574,310,0,80s,10→12,1,0.78s,近战位,输出 生存,主线剧情,"cost,re_deploy,cost,atk,cost`-1,-10,-1,24,-1","0,40,35",标准,优良,标准,标准,优良,标准,253,斗士,能够阻挡一个敌人
远山,术师,3,Gitano,ギターノ,SI01,女,萨米,,萨米,埃拉菲亚,萨米,,1598,715,118,20,70s,29→32,1,2.9s,远程位,群攻,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,27,,-1","0,70,0",普通,普通,普通,标准,标准,优良,22,扩散术师,攻击造成群体法术伤害
远牙,狙击,5,Fartooth,ファートゥース,KZ13,女,卡西米尔,,红松骑士团,黎博利,卡西米尔,红松骑士团,1522,1196,163,0,70s,20→22,1,2.7s,远程位,输出,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,40,,-1","0,100,0",标准,优良,标准,普通,优良,标准,207,神射手,优先攻击攻击范围内防御力最低的敌方单位
迷迭香,狙击,5,Rosmontis,ロスモンティス,RE45,女,哥伦比亚,,罗德岛-精英干员,菲林,罗德岛,罗德岛-精英干员,1944,688,245,15,70s,23→25,1,2.1s,远程位,输出,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,60,30",普通/■■,标准/优良,普通/卓越,标准/——,普通/标准,卓越/——,169,投掷手,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半）
送葬人,狙击,4,Executor,イグゼキュター,LT01,男,拉特兰,,拉特兰,萨科塔,拉特兰,,2330,720,185,0,70s,28→31,1,2.3s,远程位,群攻,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,29,,-1","0,65,0",标准,标准,标准,优良,优良,标准,105,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%
逻各斯,术师,5,Logos,ロゴス,RE03,男,卡兹戴尔,,罗德岛-精英干员,萨卡兹,罗德岛,罗德岛-精英干员,1663,671,119,20,70s,19→21,1,1.6s,远程位,输出,标准寻访,"cost,,atk,,cost`-1,,27,,-1","0,90,0",标准,卓越,标准,优良,卓越,■■,328,中坚术师,攻击造成法术伤害
遥,辅助,5,Haruka,,HK15,女,东国,,东,阿戈尔,东,,1887,480,178,25,70s,11→13,1,1.6s,远程位,支援 生存 治疗,标准寻访,"cost,re_deploy,atk,,cost`-1,-6,25,,-1","350,55,0",标准,普通,普通,普通,缺陷,标准,382,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）
酒神,辅助,5,Tragodia,トラゴーディア,CT01,男,维多利亚,,维多利亚,菲林,维多利亚,,1200,490,104,15,70s,14→16,1,1.6s,远程位,元素 控场,标准寻访,"cost,,atk,,cost`-1,,23,,-1","300,40,0",标准,卓越,标准,优良,优良,卓越,376,巫役,攻击造成法术伤害，可以造成元素损伤
酸糖,狙击,3,Aciddrop,アシッドドロップ,R139,女,哥伦比亚,,哥伦比亚,黎博利,哥伦比亚,,1576,735,209,0,70s,14→16→18,1,1.6s,远程位,输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,30,-4,-1","0,80,0",标准,优良,标准,普通,标准,标准,154,重射手,高精度的近距离射击
重岳,近卫,5,Chongyue,チョンユエ,NM04,男,炎,,炎-岁,未公开,炎,炎-岁,2635,590,363,0,70s,9→11,1,0.78s,近战位,爆发,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,60,30",优良,优良,标准,卓越,■■,缺陷,268,斗士,能够阻挡一个敌人
野鬃,先锋,4,Wild Mane,ワイルドメイン,KZ14,女,卡西米尔,,红松骑士团,库兰塔,卡西米尔,红松骑士团,2225,558,372,0,80s,12→14,1,1.0s,近战位,费用回复 输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,re_deploy,cost`-1,-10,-1,-10,-1","0,70,0",优良,优良,标准,普通,标准,标准,211,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用
钼铅,特种,4,Wulfenite,ウルフェナイト,SG27,女,萨尔贡,,萨尔贡,斐迪亚,萨尔贡,,1450,520,160,0,70s,9→11,1,0.85s,远程位,召唤 削弱,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,23,,-1","200,40,0",普通,标准,普通,普通,普通,标准,364,陷阱师,可以使用陷阱来协助作战，但陷阱无法放置于敌人已在的格子中
铃兰,辅助,5,Suzuran,スズラン,R172,女,东国,,叙拉古,沃尔珀,叙拉古,,1480,521,128,25,70s,14→16,1,1.9s,远程位,减速 支援 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,75,0",普通,标准,普通,标准,标准,优良,147,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
铅踝,狙击,3,Totter,トター,SG11,男,萨尔贡,,萨尔贡,黎博利,萨尔贡,,1550,920,105,0,70s,20→22,1,2.4s,远程位,输出,"标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,50,40",普通,缺陷,标准,标准,标准,标准,252,攻城手,优先攻击重量最重的敌人
铎铃,近卫,4,Wind Chimes,ウィンドチャイム,YD17,女,炎,,炎,丰蹄,炎,,5669,1438,0,0,70s,19→21→23,2,2.5s,近战位,输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,40,,-1","350,70,0",标准,标准,优良,普通,标准,标准,269,重剑手,同时攻击阻挡的所有敌人
银灰,近卫,5,SilverAsh,シルバーアッシュ,JC01,男,谢拉格,,喀兰贸易,菲林,谢拉格,喀兰贸易,2560,713,397,10,70s,18→20,2,1.3s,近战位,输出 支援,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,26,,-1","0,50,50",标准,标准,标准,卓越,优良,标准,82,领主,可以进行远程攻击，但此时攻击力降低至80%
铸铁,近卫,4,Sideroca,シデロカ,R126,女,米诺斯,,米诺斯,丰蹄,米诺斯,,2845,620,369,15,80s,21→23,1,1.25s,近战位,生存 输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","500,0,0",优良,标准,优良,标准,优良,普通,131,术战者,攻击造成法术伤害
锏,近卫,5,Degenbrecher,デーゲンブレヒャー,JC07,女,莱塔尼亚,,喀兰贸易,卡普里尼,谢拉格,喀兰贸易,2891,635,339,0,70s,19→21→23,2,1.3s,近战位,爆发 输出 削弱,标准寻访,"cost,,atk,,cost`-1,,23,,-1","0,50,50",卓越,优良,卓越,优良,卓越,缺陷,309,剑豪,普通攻击连续造成两次伤害
锡人,特种,4,Tin Man,ブリキ,CB30,男,未公开,,哥伦比亚,未公开,哥伦比亚,,1114,469,99,30,70s,13→15→17,1,1.5s,远程位,削弱 支援,活动获得,"cost,,res,,cost`-1,,8,,-1","200,30,0",标准,优良,■■,优良,优良,缺陷,336,炼金师,可以投掷炼金单元协助作战
锡兰,医疗,4,Ceylon,セイロン,SS01,女,汐斯塔（独立城邦）,,汐斯塔,黎博利,哥伦比亚,汐斯塔,1455,468,126,10,80s,20→22,1,2.85s,远程位,治疗,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","200,40,0",普通,普通,普通,标准,标准,优良,96,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%
闪击,重装,4,Blitz,Blitz,RS02,男,未知,彩虹小队,彩虹小队,未知,,,3213,445,676,0,70s,18→20→22,3,1.2s,近战位,防护 输出,联动寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,45,45",普通,普通,标准,优良,优良,■■,184,哨戒铁卫,能够阻挡三个敌人，可以进行远程攻击
闪灵,医疗,5,Shining,シャイニング,FO01,女,卡兹戴尔,使徒,使徒,萨卡兹,,,1613,530,138,0,70s,18→20,1,2.85s,远程位,治疗 支援,"公开招募, 中坚寻访","cost,,def,cost,`-1,,25,-1,","0,80,20",标准,普通,标准,标准,优良,卓越,78,医师,恢复友方单位生命
阿,特种,5,Aak,ア,LM20,男,龙门,鲤氏侦探事务所,鲤氏侦探事务所,菲林,炎-龙门,,2034,703,152,10,70s,11→13,1,1.3s,远程位,支援 输出,"公开招募, 中坚寻访","cost,re_deploy,hp,,cost`-1,-4,150,,-1","300,50,0",普通,标准,普通,标准,标准,标准,120,怪杰,自身生命会不断流失
阿兰娜,辅助,4,Alanna,アランナ,RB17,女,雷姆必拓,,雷姆必拓,萨弗拉,雷姆必拓,,2560,560,437,0,80s,14→16→18,2,1.5s,近战位,输出 支援,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,50,30",标准,普通,标准,普通,标准,普通,367,工匠,能够阻挡两个敌人，使用<支援装置>协助作战
阿斯卡纶,特种,5,Ascalon,アスカロン,SW00,女,卡兹戴尔,,S.W.E.E.P.,萨卡兹,罗德岛,S.W.E.E.P.,1623,954,333,30,70s,19→21,0,3.5s,近战位,减速 输出,标准寻访,"cost,re_deploy,hp,,cost`-1,-4,160,,-1","200,0,40",优良,卓越,标准,标准,卓越,卓越,324,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标
阿消,特种,3,Shaw,ショウ,LM11,女,龙门,,炎-龙门,札拉克,炎-龙门,,1785,580,365,0,70s,17→19,2,1.2s,近战位,位移,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,hp,re_deploy,cost`-1,-4,140,-6,-1","200,35,0",普通,优良,普通,标准,标准,普通,44,推击手,同时攻击阻挡的所有敌人可以放置于远程位
阿米娅,术师,4,Amiya,アーミヤ,R001,女,雷姆必拓,,罗德岛,卡特斯/奇美拉,罗德岛,,1480,612,121,20,70s,18→20,1,1.6s,远程位,输出,主线剧情,"hp,cost,atk,cost,`200,-1,30,-1,","200,70,0",普通,标准,普通,优良,标准,■■,55,中坚术师,攻击造成法术伤害
阿米娅(医疗),医疗,4,Amiya,,R001,女,雷姆必拓,,罗德岛,卡特斯/奇美拉,罗德岛,,1416,532,106,20,70s,15→17,1,1.6s,远程位,治疗 输出,主线剧情,"hp,cost,atk,cost,res`200,-1,22,-1,8","120,45,0",普通,标准,普通,优良,标准,■■,330,咒愈师,攻击造成法术伤害，攻击敌人时为攻击范围内一名友方干员治疗相当于50%伤害的生命值
阿米娅(近卫),近卫,4,Amiya,アーミヤ,R001,女,雷姆必拓,,罗德岛,卡特斯/奇美拉,罗德岛,,2629,657,376,20,70s,19→21,1,1.25s,近战位,输出 支援,主线剧情,"hp,cost,atk,cost,def`200,-1,28,-1,22","0,45,45",普通,标准,普通,优良,标准,■■,170,术战者,攻击造成法术伤害
阿罗玛,术师,4,Aroma,アロマ,SR39,女,叙拉古,,叙拉古,鲁珀,叙拉古,,1591,760,115,20,70s,30→33,1,2.9s,远程位,群攻 控场,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,33,,-1","60,80,0",普通,标准,普通,标准,标准,标准,323,轰击术师,攻击造成超远距离的群体法术伤害
陈,近卫,5,Ch'en,チェン,LM04,女,龙门,,龙门近卫局,龙,炎-龙门,龙门近卫局,2880,610,352,0,70s,19→21→23,2,1.3s,近战位,爆发 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,50,50",优良,标准,优良,优良,卓越,标准,94,剑豪,普通攻击连续造成两次伤害
